Reference, Quantity, Value, Footprint, Datasheet, manf#, Field4, Field5, Field6, Field7, Field8
B1 ,1,"JST 2-PH","JST_S2B-PH-K-S(LF)(SN):JST_S2B-PH-K-S(LF)(SN)","","B2B-PH-K-S(LF)(SN)","","","","",""
C1 C3 C6 C8 C10 C11 C19 C20 C21 C22 ,10,"10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CL31B106MOHNNNE","","","","",""
C15 C16 ,2,"4.7uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CL31B475KAHNFNE","","","","",""
C17 C18 ,2,"27pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","C1206C270K5GAC7800","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 "
C2 C7 C9 C12 C13 C14 ,6,"0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CL31B104KBCNFNC","","","","",""
C4 ,1,"2.2uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CL31B225KOHNNNE","","","","",""
C5 C23 ,2,"100uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","GRM31CR60G107ME39L","","","","",""
D1 D2 D6 ,3,"Red","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","156120RS75300","","","","",""
D3 D5 ,2,"Green","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","150120GS75000","","","","",""
D4 ,1,"Orange","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","150120AS75000","","","","",""
J1 ,1,"USB4125-GF-A_REVA2","USB4125-GF-A_REVA2:GCT_USB4125-GF-A_REVA2","","USB4125-GF-A","","","","",""
J2 ,1,"PREC002SAAN-RC","PREC002SAAN-RC:PREC002SAAN-RC","","PREC002SAAN-RC","","","","",""
J3 ,1,"SS-53000-001","SS-53000-001:STEWART_SS-53000-001","","SS-53000-001","","","","",""
J4 J10 ,2,"FFC3B07-20-T","FFC3B07-20-T:GCT_FFC3B07-20-T","","FFC3B07-20-T","","","","",""
J5 ,1,"Micro_SD_Card_Det","CM4IO:SDCARD_MOLEX_503398-1892","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1","5033981892","","","","",""
J6 ,1,"ARJM11D7-502-AB-EW2","ARJM11D7-502-AB-EW2:ARJM11D7502ABEW2","https://www.arrow.com/en/products/arjm11d7-502-ab-ew2/abracon","ARJM11D7-502-AB-EW2","","","","",""
J7 J8 J9 ,3,"SS-52100-001","SS-52100-001:SS-52100-001","","SS-52100-001","","","","",""
L1 ,1,"6.8uH","NRS5030T6R8MMGJ:NRS5030T6R8MMGJ","~","NRS5030T6R8MMGJ","","","","",""
Module1 ,1,"ComputeModule4-CM4","CM4IO:Raspberry-Pi-4-Compute-Module","","","Hirose","2x DF40C-100DS-0.4V","","",""
Q1 ,1,"MMUN2133LT1G","MMUN2133LT1G:SOT95P240X111-3N","","MMUN2133LT1G","","","","",""
R1 R7 ,2,"1.87M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-071M87L","","","","",""
R10 ,1,"15K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-0715KL","","","","",""
R13 ,1,"270K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-07270KL","","","","",""
R18 R24 ,2,"12K 1%","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-0712KL","","","","",""
R2 ,1,"340K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","ERJ-8ENF3403V","","","","",""
R20 R21 ,2,"470R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-07470RL","","","","",""
R22 R23 ,2,"36K 1%","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","RC1206FR-0736KL","Farnell","1458788","MCR01MZPF3602","Rohm",""
R25 ,1,"15K 1%","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","RC1206FR-0715KL","Farnell","9239375","MCR01MZPF1502","Rohm","120891581"
R3 R4 ,2,"5.1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RMCF1206FT5K10","","","","",""
R5 R8 ,2,"200K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-07200KL","","","","",""
R6 R12 R14 R15 R16 R17 R19 ,7,"1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RC1206FR-071KL","","","","",""
R9 R11 ,2,"100K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RMCF1206FT100K","","","","",""
TP1 TP2 ,2,"TestPoint","TestPoint:TestPoint_Pad_4.0x4.0mm","~"
U1 ,1,"TPS61090RSAR","TPS61090RSAR:QFN65P400X400X100-17N","","TPS61090RSAR","","","","",""
U2 ,1,"MCP73871-2CCI_ML","digikey-footprints:QFN-20-1EP_4x4mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en536709","MCP73871-2CCI/ML","","","","",""
U3 ,1,"74LVC1G07","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","74LVC1G07SE-7","","","","",""
U4 ,1,"RT9742VGJ5","Package_TO_SOT_SMD:SOT-23-5","https://www.richtek.com/assets/product_file/RT9742/DS9742-00.pdf","RT9742VGJ5","Farnell","	2545875","RT9742GGJ5","RichTek","USWI00166"
U5 ,1,"RT9742ENGJ5","Package_TO_SOT_SMD:SOT-23-5","https://www.richtek.com/assets/product_file/RT9742/DS9742-00.pdf","RT9742ENGJ5","Farnell","	2545875","RT9742ENGJ5","RichTek","USWI00166"
U6 U7 ,2,"TPD4EUSB30","Package_SON:USON-10_2.5x1.0mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","TPD4EUSB30DQAR","","","","",""
U8 ,1,"USB2504A-JT","USB2504A-JT:USB2504A-JT","","USB2504A-JT","","","","",""
U9 ,1,"AP22653W6-7","AP22653W6-7:SOT95P280X145-6N","","AP22653W6-7","","","","",""
Y1 ,1,"24MHz","Crystal:Crystal_SMD_HC49-SD","~","FC4SDCBMF24.0-T1","Farnell","2508493","X24M000000S128","AEL",""